タイトル,詳細,掲載開始日時,掲載終了日時
スマートマップ焼津をリリースしました,リアルタイム災害情報やまちづくり情報などを閲覧できます。地図や機能は、順次追加予定です！,2025/2/25,2025/3/31
焼津都市情報APIをリリースしました,スマートマップ焼津の地図データを活用して、新たな地図アプリなどにご活用いただけます！,2025/5/7,2025/5/31
【予告】システムメンテナンスによるサービス停止のお知らせ,5/19（月）～23（金）の期間、サービスをご利用いただけませんのでご留意ください。,2025/5/12,2025/5/20
サービス再開のお知らせ,システムメンテナンスは終了しました。引き続きご利用ください,2025/5/23,2025/5/28
まちなか涼みどころテーマを追加しました,熱中症対策の涼みどころです。ぜひご利用ください。,2025/6/26,2025/7/11
デジタルクーポン対象店舗を掲載しました,クーポン期間は7/25（金）～8/3（日）です。ぜひご利用ください！詳しくは、焼津市デジタルクーポン祭[https://www.city.yaizu.lg.jp/business/sangyo-shogyo/shien-hojo/digital-coupon.html]をご覧ください,2025/7/28,2025/8/3
【予告】システムメンテナンスによるサービス停止のお知らせ,8/18（月）～8/22（金）の期間、サービスをご利用いただけませんのでご留意ください。,2025/8/12,2025/8/18
サービス再開のお知らせ,システムメンテナンスは終了しました。引き続きご利用ください,2025/8/19,2025/8/25
【9月11日22時00分現在】,表示不具合が発生しています。「災害」や「発令中の避難情報」を開くと市全域が赤く表示されますが、現在、避難情報は発令されていません。利用者の皆様にはご心配をおかけし、申し訳ございません。,2025/9/11,2025/9/11
表示不具合解消,「災害」や「発令中の避難情報」で表示の不具合が発生していましたが、本日13時30分に解消し、正常にご利用いただける状態に復旧しました。利用者の皆様にはご心配をおかけしましたことをお詫び申し上げます。,2025/9/12,2025/9/13
災害ごみ受入場所テーマを追加しました,台風15号に伴い発生した災害ごみ（市民対象・事業系ごみ除く）を受け入れます。,2025/9/12,2025/9/20
野菜摂取量を測ろう！テーマを追加しました,野菜摂取量が測れるベジチェック®設置場所です。あなたの健幸に、ぜひご利用ください。,2025/9/24,2025/12/31
【予告】システムメンテナンスによるサービス停止のお知らせ,10/21（火）10時～13時の間、サービスをご利用いただけませんのでご留意ください。,2025/10/14,2025/10/20
サービス再開のお知らせ,システムメンテナンスは終了しました。引き続きご利用ください,2025/10/21,2025/10/28
魚フェス！マップを追加しました,11/8.9で開催されるイベントです。ぜひご来場ください。,2025/11/7,2025/11/10
【予告】システムメンテナンスによるサービス停止のお知らせ,12/16（火）9時～16時の間、サービスをご利用いただけませんのでご留意ください。,2025/12/9,2025/12/17

